,k,alpha,score
0,15,0.01,-4.26340427651523
1,15,0.31,-4.232020775365813
2,15,0.61,-4.234976372311496
3,15,0.9099999999999999,-4.2377099484437775
4,14,0.01,-4.228770921285797
5,14,0.31,-4.236258229801102
6,14,0.61,-4.238198240027798
7,14,0.9099999999999999,-4.24186011575658
8,13,0.01,-4.154808953700559
9,13,0.31,-4.1648929181810015
10,13,0.61,-4.167892608698925
11,13,0.9099999999999999,-4.171448452060708
12,12,0.01,-4.200276543966272
13,12,0.31,-4.209889692897918
14,12,0.61,-4.215469163875579
15,12,0.9099999999999999,-4.215664347456808
16,11,0.01,-4.0742567790851965
17,11,0.31,-4.075243356787288
18,11,0.61,-4.075326165078011
19,11,0.9099999999999999,-4.075326165078011
20,10,0.01,-4.002542187905979
21,10,0.31,-3.9869194765645433
22,10,0.61,-3.9869194765645433
23,10,0.9099999999999999,-3.9869194765645433
24,9,0.01,-3.865991580221533
25,9,0.31,-3.865991580221533
26,9,0.61,-3.8735974520955603
27,9,0.9099999999999999,-3.8756017226990247
28,8,0.01,-3.722512678274546
29,8,0.31,-3.696048013997429
30,8,0.61,-3.699271401925772
31,8,0.9099999999999999,-3.698921638190047
32,7,0.01,-3.6239631319187557
33,7,0.31,-3.6239631319187557
34,7,0.61,-3.6265229567189143
35,7,0.9099999999999999,-3.6242239902053615
